Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
CGMS,FALLAHI-SICHANI,synergy_loewe,110.0505,71.3051,21.5277,198.5733,9.9353,3.3676,5.7545,14.116,8.0793,1.8009,5.8435,10.3151,0.3214,0.4255,-0.2069,0.8496,0.851,0.0839,0.7468,0.9551
CGMS,FLOBAK,synergy_loewe,38.4855,10.2763,25.7278,51.2432,6.1486,0.8251,5.1242,7.1729,4.552,0.5761,3.8368,5.2672,0.2886,0.1894,0.0534,0.5237,0.4858,0.2668,0.1546,0.817
CGMS,FORCINA,synergy_loewe,181.26,34.0868,138.9424,223.5775,13.3996,1.3076,11.7762,15.023,9.5967,0.6961,8.7326,10.4609,0.1098,0.0249,0.0789,0.1407,0.3437,0.0363,0.2985,0.3888
CGMS,FRIEDMAN,synergy_loewe,134.3519,31.4352,95.3263,173.3775,11.5222,1.2615,9.9561,13.0882,8.5954,0.9878,7.369,9.8217,0.4351,0.1253,0.2795,0.5906,0.6539,0.1096,0.5178,0.7899
CGMS,NCATS_2D_3D,synergy_loewe,37.804,24.9313,6.8527,68.7553,5.5656,2.613,2.3216,8.8096,3.5644,1.5929,1.5869,5.542,-1.2983,1.3888,-3.0224,0.4258,-0.1082,0.6653,-0.9341,0.7177
CGMS,NCATS_ES(FAKI_AURKI),synergy_loewe,30.5842,1.5065,28.7139,32.4545,5.5286,0.1361,5.3597,5.6975,4.5174,0.0691,4.4316,4.6032,0.0292,0.0196,0.0048,0.0536,0.1944,0.0451,0.1384,0.2503
CGMS,NCATS_ES(NAMPT+PARP),synergy_loewe,145.2653,16.3733,124.9384,165.5922,12.0335,0.6782,11.1915,12.8755,8.2987,0.319,7.9028,8.6947,0.1949,0.0459,0.1379,0.2519,0.4404,0.054,0.3734,0.5074
CGMS,NCATS_HL,synergy_loewe,198.9008,11.7158,184.356,213.4455,14.0971,0.4138,13.5834,14.6109,11.0577,0.3587,10.6125,11.503,0.1055,0.0232,0.0767,0.1342,0.336,0.0333,0.2946,0.3774
CGMS,ONEIL,synergy_loewe,58.9528,2.1999,56.2217,61.6839,7.6767,0.1443,7.4975,7.8559,4.9444,0.0815,4.8432,5.0456,0.7465,0.0125,0.731,0.762,0.8648,0.0077,0.8553,0.8744
CGMS,YOHE,synergy_loewe,47.9212,10.6605,34.6866,61.1558,6.8827,0.741,5.9629,7.8026,4.9637,0.2888,4.6052,5.3222,-0.0235,0.1143,-0.1653,0.1184,0.2075,0.1682,-0.0013,0.4162
CGMS,ALMANAC,synergy_zip,12.1401,0.208,11.8818,12.3983,3.4841,0.0299,3.447,3.5213,2.4535,0.0183,2.4308,2.4762,0.5642,0.0092,0.5528,0.5756,0.7512,0.006,0.7437,0.7588
CGMS,ASTRAZENECA,synergy_zip,41706.5617,72836.1701,-48716.9899,132130.1132,131.246,156.4642,-62.9989,325.4908,9.7124,3.4656,5.41,14.0148,-0.012,0.0282,-0.0469,0.023,0.1107,0.0572,0.0397,0.1817
CGMS,DYALL,synergy_zip,20.9836,7.674,11.4566,30.5105,4.5021,0.8456,3.4522,5.5519,3.4535,0.7109,2.5709,4.3361,0.1168,0.2081,-0.1415,0.3751,0.4274,0.2208,0.1533,0.7015
CGMS,FALLAHI-SICHANI,synergy_zip,78.4466,80.0879,-20.9797,177.8729,7.6332,4.4922,2.0563,13.2102,6.1423,3.8602,1.3499,10.9347,-0.0901,0.4539,-0.6535,0.4734,0.5131,0.2974,0.144,0.8823
CGMS,FLOBAK,synergy_zip,11.0369,1.9065,8.67,13.4037,3.308,0.307,2.9269,3.6891,2.4591,0.2601,2.1362,2.782,0.5981,0.0775,0.5019,0.6943,0.776,0.0491,0.7151,0.837
CGMS,FORCINA,synergy_zip,241.8448,20.9058,215.891,267.7986,15.5368,0.6726,14.7018,16.3718,11.9434,0.1899,11.7077,12.1792,0.0472,0.0169,0.0262,0.0681,0.2288,0.0494,0.1674,0.2901
CGMS,FRIEDMAN,synergy_zip,55.5689,0.9947,54.334,56.8037,7.4542,0.0671,7.3708,7.5375,5.3566,0.0216,5.3298,5.3834,0.8537,0.0034,0.8495,0.858,0.9247,0.0019,0.9223,0.9271
CGMS,NCATS_2D_3D,synergy_zip,7.4919,4.3968,2.0334,12.9504,2.6147,0.8093,1.61,3.6195,2.0964,0.5513,1.412,2.7808,-7.7338,16.0393,-27.646,12.1784,0.7735,0.2052,0.5187,1.0282
CGMS,NCATS_ES(FAKI_AURKI),synergy_zip,13.7885,1.2573,12.2276,15.3494,3.7095,0.1673,3.5018,3.9172,2.8612,0.0949,2.7434,2.9791,-0.0048,0.0058,-0.012,0.0024,-0.0012,0.041,-0.052,0.0497
CGMS,NCATS_ES(NAMPT+PARP),synergy_zip,99.1905,9.8547,86.9562,111.4247,9.9474,0.4905,9.3384,10.5563,7.3071,0.2183,7.0361,7.5781,0.1673,0.058,0.0953,0.2393,0.4189,0.0571,0.3481,0.4897
CGMS,NCATS_HL,synergy_zip,433.3442,106.8114,300.7415,565.9468,20.6713,2.4578,17.6201,23.7225,11.5682,0.8149,10.5565,12.58,0.2534,0.102,0.1268,0.38,0.5218,0.0795,0.4231,0.6204
CGMS,ONEIL,synergy_zip,14.7592,5.8993,7.4354,22.083,3.7788,0.6925,2.9191,4.6386,2.7701,0.5355,2.1053,3.4349,0.5643,0.1728,0.3498,0.7787,0.7419,0.1342,0.5752,0.9085
CGMS,YOHE,synergy_zip,59.0985,12.5454,43.5238,74.6732,7.6433,0.8237,6.6206,8.666,6.142,0.4306,5.6075,6.6766,-0.1093,0.0978,-0.2306,0.0121,-0.0004,0.1047,-0.1304,0.1296
DeepDDS,ALMANAC,synergy_bliss,26.4647,0.3535,26.0258,26.9037,5.1443,0.0343,5.1017,5.1869,3.672,0.0296,3.6352,3.7087,0.2836,0.012,0.2687,0.2985,0.5325,0.0111,0.5187,0.5463
DeepDDS,ASTRAZENECA,synergy_bliss,248676.5469,320993.5,-149889.5257,647242.6195,378.2411,363.3355,-72.8995,829.3818,17.253,9.625,5.302,29.2041,0.019,0.0392,-0.0297,0.0677,0.0766,0.1281,-0.0824,0.2356
DeepDDS,DYALL,synergy_bliss,29.4934,7.2151,20.5346,38.4521,5.3942,0.7037,4.5204,6.268,4.4296,0.6992,3.5614,5.2978,0.2418,0.1518,0.0533,0.4303,0.4702,0.1609,0.2705,0.6699
DeepDDS,FALLAHI-SICHANI,synergy_bliss,102.5389,49.9765,40.4849,164.593,9.7423,3.0877,5.9084,13.5761,8.1687,2.7411,4.7652,11.5723,0.4604,0.2501,0.1499,0.7709,0.425,0.5913,-0.3093,1.1592
DeepDDS,FLOBAK,synergy_bliss,9.9772,1.6301,7.9532,12.0013,3.1503,0.2567,2.8315,3.4691,2.2962,0.1579,2.1001,2.4923,0.7942,0.0225,0.7663,0.8221,0.8911,0.0126,0.8754,0.9067
DeepDDS,FORCINA,synergy_bliss,283.2558,26.4223,250.4482,316.0634,16.8152,0.7937,15.8297,17.8008,12.7304,0.177,12.5106,12.9502,0.008,0.006,0.0006,0.0154,0.0826,0.0371,0.0365,0.1286
DeepDDS,FRIEDMAN,synergy_bliss,1105.0769,278.2493,759.5848,1450.569,33.0283,4.2144,27.7954,38.2612,23.5971,3.3069,19.491,27.7032,0.3172,0.1758,0.0989,0.5355,0.5447,0.1607,0.3451,0.7442
DeepDDS,NCATS_2D_3D,synergy_bliss,12.2642,5.8392,5.0139,19.5145,3.3952,0.9596,2.2038,4.5867,2.047,0.6717,1.2129,2.8811,0.3022,0.3929,-0.1857,0.7901,0.2214,0.5628,-0.4774,0.9202
DeepDDS,NCATS_ES(FAKI_AURKI),synergy_bliss,23.6696,4.5283,18.0469,29.2923,4.8485,0.4501,4.2896,5.4073,3.6312,0.1618,3.4304,3.8321,0.0008,0.0018,-0.0014,0.003,-0.0008,0.0358,-0.0453,0.0436
DeepDDS,NCATS_ES(NAMPT+PARP),synergy_bliss,151.8997,13.3459,135.3286,168.4709,12.3156,0.5298,11.6578,12.9735,8.7361,0.376,8.2693,9.2029,0.204,0.0427,0.151,0.257,0.4497,0.0453,0.3935,0.506
DeepDDS,NCATS_HL,synergy_bliss,549.2196,115.0718,406.3391,692.1001,23.3283,2.5028,20.2206,26.4359,13.9624,0.8422,12.9167,15.0081,0.2648,0.0849,0.1594,0.3702,0.5095,0.0829,0.4065,0.6125
DeepDDS,ONEIL,synergy_bliss,23.8955,3.1021,20.0438,27.7473,4.8797,0.3247,4.4765,5.2829,3.1287,0.1538,2.9378,3.3196,0.525,0.0504,0.4624,0.5876,0.724,0.0343,0.6814,0.7666
DeepDDS,YOHE,synergy_bliss,63.6505,18.5438,40.6253,86.6757,7.9133,1.1345,6.5047,9.322,6.069,0.6478,5.2647,6.8733,0.0852,0.0661,0.0031,0.1673,0.2677,0.1312,0.1047,0.4306
DeepDDS,ALMANAC,synergy_hsa,23.8945,0.3367,23.4764,24.3125,4.8881,0.0344,4.8453,4.9309,3.4191,0.0252,3.3879,3.4504,0.3014,0.0027,0.298,0.3048,0.5492,0.0027,0.5459,0.5525
DeepDDS,ASTRAZENECA,synergy_hsa,80.4217,12.4985,64.9028,95.9405,8.9478,0.669,8.1172,9.7785,5.5186,0.2052,5.2638,5.7734,0.1914,0.0771,0.0957,0.2871,0.4296,0.0921,0.3153,0.544
DeepDDS,DYALL,synergy_hsa,20.9333,5.7664,13.7734,28.0933,4.5327,0.6965,3.6679,5.3975,3.5009,0.4674,2.9205,4.0814,0.0936,0.0699,0.0068,0.1804,0.1574,0.2931,-0.2065,0.5213
DeepDDS,FALLAHI-SICHANI,synergy_hsa,80.1599,14.5891,62.0451,98.2748,8.9234,0.8156,7.9107,9.9361,7.5001,0.9617,6.306,8.6942,0.7156,0.1739,0.4997,0.9315,0.84,0.1116,0.7014,0.9786
DeepDDS,FLOBAK,synergy_hsa,9.4462,1.241,7.9053,10.9871,3.0678,0.2086,2.8087,3.3269,2.1993,0.1497,2.0134,2.3853,0.7202,0.0221,0.6927,0.7477,0.8486,0.0129,0.8326,0.8647
DeepDDS,FORCINA,synergy_hsa,218.2752,42.3417,165.701,270.8494,14.7158,1.4663,12.8952,16.5365,10.3737,0.8691,9.2945,11.4528,0.0234,0.0217,-0.0035,0.0503,0.1383,0.0724,0.0484,0.2281
DeepDDS,FRIEDMAN,synergy_hsa,338.1971,64.044,258.6759,417.7182,18.3208,1.7834,16.1064,20.5353,14.3304,1.5142,12.4503,16.2105,0.1706,0.1286,0.011,0.3302,0.3898,0.1526,0.2004,0.5792
DeepDDS,NCATS_2D_3D,synergy_hsa,14.9589,13.4028,-1.6829,31.6006,3.5091,1.8184,1.2512,5.767,2.426,1.3161,0.7918,4.0602,0.4518,0.4894,-0.1559,1.0595,0.085,0.7455,-0.8406,1.0106
DeepDDS,NCATS_ES(FAKI_AURKI),synergy_hsa,15.813,2.8095,12.3245,19.3015,3.9641,0.3514,3.5278,4.4004,2.8287,0.1768,2.6092,3.0482,0.0058,0.0058,-0.0014,0.013,0.0663,0.0438,0.0119,0.1207
DeepDDS,NCATS_ES(NAMPT+PARP),synergy_hsa,81.2758,14.0998,63.7685,98.783,8.9888,0.7719,8.0304,9.9473,6.1445,0.4828,5.545,6.7439,0.1126,0.029,0.0765,0.1487,0.333,0.0431,0.2795,0.3866
DeepDDS,NCATS_HL,synergy_hsa,73.8467,13.4523,57.1435,90.55,8.5659,0.7679,7.6124,9.5194,6.2069,0.3658,5.7526,6.6611,0.0482,0.0282,0.0132,0.0832,0.2123,0.0627,0.1344,0.2902
DeepDDS,ONEIL,synergy_hsa,28.9313,2.7002,25.5786,32.284,5.3742,0.2491,5.0649,5.6835,3.5426,0.1431,3.3649,3.7204,0.4262,0.0482,0.3663,0.4861,0.652,0.0374,0.6056,0.6984
DeepDDS,YOHE,synergy_hsa,27.529,5.5972,20.5791,34.4789,5.2246,0.5392,4.5551,5.8941,3.9879,0.3189,3.5919,4.3839,0.1782,0.0805,0.0782,0.2782,0.4133,0.0956,0.2946,0.532
DeepDDS,ALMANAC,synergy_loewe,144.7736,6.0351,137.28,152.2672,12.0301,0.2482,11.722,12.3383,7.742,0.176,7.5234,7.9605,0.3364,0.0179,0.3142,0.3586,0.5798,0.0154,0.5607,0.599
DeepDDS,ASTRAZENECA,synergy_loewe,860.7785,766.6754,-91.1747,1812.7317,27.1139,12.5308,11.5549,42.6729,9.1368,0.4316,8.601,9.6727,0.0692,0.0458,0.0123,0.1261,0.251,0.0893,0.1402,0.3619
DeepDDS,DYALL,synergy_loewe,208.9847,133.5838,43.1184,374.8509,13.8809,4.5146,8.2753,19.4865,10.4609,2.9887,6.75,14.1718,0.2368,0.2161,-0.0315,0.5051,0.4339,0.2466,0.1276,0.7401
DeepDDS,FALLAHI-SICHANI,synergy_loewe,106.5154,47.7921,47.1737,165.8571,10.0366,2.6886,6.6982,13.3749,8.5952,2.851,5.0553,12.1352,0.6636,0.1736,0.448,0.8792,0.8093,0.1043,0.6798,0.9388
DeepDDS,FLOBAK,synergy_loewe,21.5934,2.6071,18.3562,24.8306,4.64,0.2821,4.2897,4.9903,3.3399,0.2071,3.0827,3.5971,0.62,0.047,0.5616,0.6784,0.787,0.0293,0.7506,0.8234
DeepDDS,FORCINA,synergy_loewe,213.5864,39.0955,165.0429,262.1299,14.5627,1.3752,12.8551,16.2703,10.2119,0.7547,9.2747,11.149,0.0422,0.0214,0.0156,0.0688,0.1993,0.0572,0.1283,0.2703
DeepDDS,FRIEDMAN,synergy_loewe,251.5535,44.4314,196.3846,306.7223,15.812,1.3842,14.0934,17.5307,11.9289,1.022,10.6599,13.1979,0.108,0.0397,0.0587,0.1573,0.3224,0.0703,0.2351,0.4097
DeepDDS,NCATS_2D_3D,synergy_loewe,32.3914,20.7076,6.6795,58.1033,5.4251,1.9234,3.0369,7.8133,3.7348,1.6352,1.7044,5.7652,0.5572,0.5013,-0.0652,1.1796,0.1842,0.8086,-0.8198,1.1882
DeepDDS,NCATS_ES(FAKI_AURKI),synergy_loewe,35.7821,1.4086,34.0331,37.5312,5.9809,0.1181,5.8343,6.1275,4.7172,0.0864,4.61,4.8245,0.023,0.0179,0.0008,0.0452,0.1373,0.0734,0.0461,0.2285
DeepDDS,NCATS_ES(NAMPT+PARP),synergy_loewe,152.4241,19.1163,128.6881,176.1601,12.3269,0.7669,11.3748,13.2791,8.5078,0.4904,7.8989,9.1167,0.1938,0.0523,0.1289,0.2587,0.4367,0.0646,0.3565,0.5169
DeepDDS,NCATS_HL,synergy_loewe,231.0336,15.8697,211.3287,250.7385,15.1925,0.5259,14.5396,15.8454,11.7853,0.3716,11.3239,12.2466,0.0868,0.0272,0.053,0.1206,0.292,0.0472,0.2335,0.3506
DeepDDS,ONEIL,synergy_loewe,122.3224,12.6004,106.677,137.9679,11.048,0.5754,10.3336,11.7624,7.1492,0.5046,6.5227,7.7757,0.4844,0.0656,0.403,0.5658,0.6946,0.0467,0.6367,0.7526
DeepDDS,YOHE,synergy_loewe,58.3097,15.0318,39.6452,76.9742,7.5851,0.985,6.3621,8.8081,5.685,0.4073,5.1793,6.1907,0.057,0.0506,-0.0059,0.1199,0.2086,0.1302,0.0469,0.3703
DeepDDS,ALMANAC,synergy_zip,18.5244,0.8279,17.4963,19.5524,4.3031,0.0963,4.1836,4.4226,3.1352,0.0731,3.0444,3.2259,0.3414,0.0279,0.3068,0.376,0.5838,0.0239,0.5541,0.6136
DeepDDS,ASTRAZENECA,synergy_zip,109974.0859,144753.1094,-69760.6386,289708.8105,254.0462,238.3134,-41.859,549.9513,13.9419,6.8321,5.4587,22.4251,0.0002,0.0004,-0.0004,0.0008,0.0043,0.017,-0.0168,0.0255
DeepDDS,DYALL,synergy_zip,21.1367,5.3669,14.4728,27.8006,4.5673,0.5878,3.8374,5.2972,3.5252,0.3916,3.039,4.0114,0.2152,0.1873,-0.0173,0.4477,0.4279,0.1996,0.1801,0.6757
DeepDDS,FALLAHI-SICHANI,synergy_zip,88.7388,45.7484,31.9346,145.5429,9.1847,2.34,6.2792,12.0901,7.9304,1.9746,5.4787,10.3821,0.404,0.2351,0.1121,0.6959,0.3104,0.6201,-0.4596,1.0805
DeepDDS,FLOBAK,synergy_zip,8.4211,2.2716,5.6005,11.2417,2.8795,0.4024,2.3799,3.3792,1.8613,0.1732,1.6462,2.0764,0.7226,0.0765,0.6276,0.8176,0.8491,0.0447,0.7936,0.9045
DeepDDS,FORCINA,synergy_zip,288.8828,47.5073,229.8947,347.8709,16.9514,1.3849,15.2317,18.671,12.963,0.7498,12.032,13.8941,0.0114,0.0117,-0.0031,0.0259,0.0923,0.0607,0.0169,0.1677
DeepDDS,FRIEDMAN,synergy_zip,402.6817,62.7393,324.7806,480.5828,20.0131,1.6428,17.9733,22.0529,14.224,1.197,12.7377,15.7103,0.1244,0.0908,0.0117,0.2371,0.3356,0.1207,0.1857,0.4855
DeepDDS,NCATS_2D_3D,synergy_zip,9.347,6.8353,0.8599,17.8341,2.894,1.102,1.5257,4.2624,2.0552,1.0764,0.7187,3.3918,0.6222,0.3615,0.1733,1.0711,0.7492,0.2761,0.4064,1.0921
DeepDDS,NCATS_ES(FAKI_AURKI),synergy_zip,16.875,4.077,11.8127,21.9373,4.0862,0.4717,3.5005,4.6719,3.208,0.3865,2.7281,3.6879,0.0114,0.0109,-0.0022,0.025,0.0928,0.0592,0.0193,0.1662
DeepDDS,NCATS_ES(NAMPT+PARP),synergy_zip,93.8053,13.5498,76.981,110.6296,9.6652,0.6983,8.7981,10.5322,7.1105,0.4421,6.5616,7.6594,0.2698,0.0585,0.1971,0.3425,0.5172,0.0558,0.4479,0.5865
DeepDDS,NCATS_HL,synergy_zip,540.6292,121.6141,389.6252,691.6331,23.1367,2.5795,19.9338,26.3395,14.1082,1.3739,12.4023,15.8142,0.301,0.0819,0.1993,0.4027,0.5442,0.0771,0.4485,0.6399
DeepDDS,ONEIL,synergy_zip,12.1085,0.5463,11.4302,12.7869,3.479,0.0781,3.3821,3.576,2.4992,0.0558,2.4299,2.5685,0.646,0.019,0.6225,0.6695,0.8036,0.0119,0.7888,0.8184
DeepDDS,YOHE,synergy_zip,60.0349,11.0409,46.3258,73.7439,7.7218,0.7146,6.8345,8.6091,5.9987,0.3673,5.5427,6.4548,0.0254,0.0476,-0.0337,0.0845,0.0958,0.1412,-0.0795,0.2711
JointSyn,ALMANAC,synergy_bliss,13.1305,0.1121,12.9914,13.2697,3.6236,0.0155,3.6044,3.6428,2.5899,0.0099,2.5777,2.6022,0.6401,0.0054,0.6334,0.6467,0.8001,0.0034,0.7959,0.8044
JointSyn,ALMANAC,synergy_hsa,10.6523,0.1125,10.5127,10.792,3.2638,0.0172,3.2423,3.2852,2.3471,0.0103,2.3343,2.3599,0.6862,0.0045,0.6805,0.6918,0.8287,0.0028,0.8253,0.8321
JointSyn,ALMANAC,synergy_loewe,67.6774,1.9015,65.3164,70.0383,8.226,0.1157,8.0823,8.3696,5.0474,0.0352,5.0037,5.0912,0.6801,0.0047,0.6743,0.6859,0.8255,0.0026,0.8222,0.8288
JointSyn,ALMANAC,synergy_zip,10.2686,0.1219,10.1173,10.4199,3.2044,0.0191,3.1808,3.2281,2.2577,0.0071,2.2489,2.2666,0.6314,0.0046,0.6257,0.6371,0.7948,0.0029,0.7911,0.7984
JointSyn,ASTRAZENECA,synergy_bliss,174905.1415,195101.9845,-67345.9687,417156.2517,330.397,286.6683,-25.5487,686.3427,16.1463,7.3232,7.0533,25.2392,-8.3311,15.0812,-27.0569,10.3946,0.0621,0.1149,-0.0805,0.2047
JointSyn,ASTRAZENECA,synergy_hsa,75.3366,13.1334,59.0293,91.6439,8.6535,0.7526,7.719,9.588,4.9794,0.0959,4.8604,5.0985,0.1662,0.1237,0.0126,0.3199,0.5113,0.0726,0.4212,0.6015
JointSyn,ASTRAZENECA,synergy_loewe,774.0774,741.1404,-146.17,1694.3248,25.1638,13.2693,8.6878,41.6398,8.6595,0.8913,7.5529,9.7662,0.0912,0.1374,-0.0794,0.2619,0.438,0.1815,0.2126,0.6633
JointSyn,ASTRAZENECA,synergy_zip,41557.2699,81610.4208,-59775.4515,142889.9913,130.5436,175.0559,-86.817,347.9041,9.8713,4.039,4.8562,14.8863,0.0093,0.0129,-0.0068,0.0253,0.138,0.0277,0.1036,0.1724
JointSyn,DYALL,synergy_bliss,32.9838,11.5192,18.6808,47.2868,5.6791,0.9562,4.4918,6.8664,4.3022,0.4994,3.6822,4.9223,-0.0462,0.085,-0.1518,0.0593,0.3876,0.2045,0.1336,0.6415
JointSyn,DYALL,synergy_hsa,21.1027,9.0133,9.9113,32.2942,4.5089,0.9829,3.2885,5.7293,3.4125,0.6966,2.5476,4.2774,-0.272,0.2428,-0.5735,0.0295,0.1316,0.2206,-0.1423,0.4055
JointSyn,DYALL,synergy_loewe,299.7876,132.6527,135.0776,464.4976,16.7677,4.8259,10.7756,22.7598,11.6108,3.6265,7.1079,16.1137,-0.7116,1.3931,-2.4413,1.0182,0.4343,0.0878,0.3253,0.5434
JointSyn,DYALL,synergy_zip,26.7255,6.4085,18.7683,34.6827,5.135,0.6687,4.3047,5.9652,3.955,0.6663,3.1278,4.7823,-0.1487,0.1717,-0.3619,0.0645,0.4619,0.115,0.319,0.6047
JointSyn,FALLAHI-SICHANI,synergy_bliss,75.3641,67.4108,-8.3375,159.0657,7.7665,4.3368,2.3816,13.1513,6.1556,3.9813,1.2122,11.099,-0.0082,0.7662,-0.9596,0.9433,0.6561,0.2363,0.3627,0.9495
JointSyn,FALLAHI-SICHANI,synergy_hsa,70.7582,66.1638,-11.3951,152.9114,7.6139,3.9979,2.6499,12.5779,6.3851,3.7169,1.77,11.0003,0.4339,0.3806,-0.0387,0.9066,0.6344,0.5537,-0.053,1.3219
JointSyn,FALLAHI-SICHANI,synergy_loewe,148.4425,49.0792,87.5027,209.3823,12.0509,2.0058,9.5604,14.5414,9.8401,1.0951,8.4804,11.1999,-0.0386,0.7562,-0.9775,0.9004,0.8066,0.1351,0.6389,0.9743
JointSyn,FALLAHI-SICHANI,synergy_zip,85.4369,67.6043,1.495,169.3788,8.4785,4.1159,3.3679,13.589,6.6854,3.6209,2.1894,11.1814,-1.0372,2.089,-3.6311,1.5566,0.3113,0.632,-0.4734,1.0961
JointSyn,FLOBAK,synergy_bliss,9.5786,2.099,6.9724,12.1848,3.0801,0.3382,2.6602,3.5,2.2465,0.171,2.0342,2.4588,0.7889,0.035,0.7454,0.8323,0.8936,0.0201,0.8687,0.9185
JointSyn,FLOBAK,synergy_hsa,9.8335,1.3522,8.1545,11.5125,3.13,0.2147,2.8633,3.3966,2.2764,0.1007,2.1513,2.4014,0.6967,0.0265,0.6638,0.7297,0.8376,0.0165,0.8171,0.8581
JointSyn,FLOBAK,synergy_loewe,14.9621,1.1691,13.5105,16.4137,3.8658,0.1502,3.6793,4.0523,2.8433,0.0468,2.7852,2.9015,0.7223,0.0257,0.6904,0.7541,0.8637,0.0157,0.8442,0.8832
JointSyn,FLOBAK,synergy_zip,6.8384,1.628,4.8169,8.8598,2.5991,0.322,2.1994,2.9989,1.7623,0.1464,1.5805,1.9441,0.7524,0.0541,0.6852,0.8195,0.8686,0.032,0.8289,0.9083
JointSyn,FORCINA,synergy_bliss,267.8719,44.6564,212.4236,323.3202,16.3197,1.3866,14.5981,18.0414,12.5698,0.7944,11.5835,13.5561,-0.0528,0.1257,-0.2089,0.1033,0.2178,0.0621,0.1407,0.2949
JointSyn,FORCINA,synergy_hsa,194.4348,46.1998,137.0701,251.7994,13.8647,1.6603,11.8031,15.9262,10.0285,1.211,8.5248,11.5321,0.0461,0.0771,-0.0497,0.1418,0.3391,0.0628,0.2611,0.4171
JointSyn,FORCINA,synergy_loewe,201.5384,48.611,141.1798,261.897,14.1097,1.7518,11.9346,16.2848,10.0814,1.182,8.6138,11.549,0.0134,0.0785,-0.0841,0.1108,0.311,0.0711,0.2228,0.3993
JointSyn,FORCINA,synergy_zip,275.5911,55.3237,206.8977,344.2846,16.5333,1.6741,14.4546,18.612,12.7489,0.9948,11.5136,13.9841,-0.0805,0.1524,-0.2698,0.1088,0.2141,0.0681,0.1295,0.2987
JointSyn,FRIEDMAN,synergy_bliss,85.1453,2.4219,82.1381,88.1524,9.2267,0.1314,9.0635,9.3899,6.6832,0.0395,6.6342,6.7323,0.943,0.0016,0.941,0.9449,0.9713,0.0008,0.9703,0.9724
JointSyn,FRIEDMAN,synergy_hsa,85.785,2.5206,82.6553,88.9147,9.2612,0.1361,9.0922,9.4302,6.7259,0.0525,6.6607,6.791,0.7768,0.0036,0.7723,0.7813,0.8825,0.0024,0.8795,0.8854
JointSyn,FRIEDMAN,synergy_loewe,109.6563,1.9853,107.1912,112.1214,10.4713,0.0949,10.3535,10.5892,7.6983,0.0654,7.6172,7.7794,0.538,0.0031,0.5341,0.5418,0.735,0.0022,0.7323,0.7377
JointSyn,FRIEDMAN,synergy_zip,48.9806,1.6966,46.8741,51.0872,6.9978,0.1206,6.8481,7.1475,5.0234,0.0359,4.9787,5.068,0.8711,0.0044,0.8656,0.8766,0.9351,0.0017,0.933,0.9373
JointSyn,NCATS_2D_3D,synergy_bliss,14.5641,9.2359,3.0962,26.032,3.5698,1.5085,1.6968,5.4429,2.8417,1.3614,1.1512,4.5321,-1.5356,2.126,-4.1753,1.1042,-0.0846,0.7058,-0.961,0.7918
JointSyn,NCATS_2D_3D,synergy_hsa,22.8742,17.3206,1.3678,44.3806,4.5674,1.5864,2.5976,6.5371,3.5524,1.5546,1.6221,5.4827,-6.0902,12.5088,-21.6219,9.4416,0.2616,0.8012,-0.7332,1.2564
JointSyn,NCATS_2D_3D,synergy_loewe,31.7143,16.4374,11.3046,52.124,5.4713,1.4913,3.6195,7.323,4.1157,0.7613,3.1704,5.0611,-21.0568,46.8075,-79.1759,37.0624,0.2378,0.7753,-0.7249,1.2005
JointSyn,NCATS_2D_3D,synergy_zip,12.04,4.6846,6.2233,17.8567,3.4186,0.6647,2.5932,4.2439,3.1028,0.9089,1.9742,4.2313,-19.5053,43.2619,-73.2221,34.2115,0.7785,0.2414,0.4788,1.0783
JointSyn,NCATS_ES(FAKI_AURKI),synergy_bliss,22.0216,4.0932,16.9392,27.1041,4.6779,0.4169,4.1603,5.1955,3.4896,0.0731,3.3988,3.5803,-0.011,0.014,-0.0284,0.0064,0.06,0.0473,0.0012,0.1187
JointSyn,NCATS_ES(FAKI_AURKI),synergy_hsa,12.2095,4.1559,7.0492,17.3698,3.4593,0.5507,2.7756,4.1431,2.4005,0.1257,2.2445,2.5566,-0.0034,0.003,-0.0072,0.0004,0.0045,0.0557,-0.0647,0.0737
JointSyn,NCATS_ES(FAKI_AURKI),synergy_loewe,31.7961,1.0183,30.5317,33.0605,5.6382,0.0907,5.5256,5.7508,4.5998,0.1303,4.438,4.7616,-0.0108,0.0492,-0.0719,0.0503,0.2319,0.0341,0.1896,0.2741
JointSyn,NCATS_ES(FAKI_AURKI),synergy_zip,14.3362,2.1182,11.7061,16.9663,3.7785,0.2713,3.4416,4.1154,2.914,0.1843,2.6852,3.1428,-0.0415,0.0517,-0.1057,0.0228,0.107,0.0565,0.0369,0.1771
JointSyn,NCATS_ES(NAMPT+PARP),synergy_bliss,125.8604,16.6091,105.2375,146.4833,11.1996,0.7332,10.2892,12.1099,7.6543,0.2932,7.2902,8.0184,0.2751,0.0343,0.2325,0.3177,0.5441,0.0329,0.5032,0.585
