Model,Study,Target,MSE_Mean,MSE_Std,MSE_CI_Low,MSE_CI_High,RMSE_Mean,RMSE_Std,RMSE_CI_Low,RMSE_CI_High,MAE_Mean,MAE_Std,MAE_CI_Low,MAE_CI_High,R2_Mean,R2_Std,R2_CI_Low,R2_CI_High,PCC_Mean,PCC_Std,PCC_CI_Low,PCC_CI_High
RF,YOHE,synergy_zip,46.2708,11.192,32.3763,60.1653,6.7558,0.7938,5.7704,7.7412,5.3519,0.401,4.8541,5.8497,0.1124,0.1997,-0.1356,0.3604,0.3953,0.1795,0.1725,0.6182
XGB,ALMANAC,synergy_bliss,20.7759,0.27,20.4407,21.1111,4.558,0.0296,4.5212,4.5947,3.2836,0.0153,3.2646,3.3025,0.4305,0.0072,0.4216,0.4395,0.6638,0.006,0.6563,0.6712
XGB,ALMANAC,synergy_hsa,18.6083,0.3675,18.152,19.0645,4.3135,0.0425,4.2607,4.3663,3.0718,0.0175,3.05,3.0935,0.4518,0.0101,0.4393,0.4643,0.6804,0.0073,0.6713,0.6895
XGB,ALMANAC,synergy_loewe,116.6488,1.8277,114.3797,118.9178,10.8001,0.0846,10.695,10.9052,7.3562,0.0193,7.3322,7.3801,0.4486,0.0027,0.4453,0.4519,0.6786,0.0016,0.6766,0.6806
XGB,ALMANAC,synergy_zip,15.4083,0.1706,15.1965,15.6201,3.9253,0.0218,3.8983,3.9523,2.8365,0.011,2.8229,2.8502,0.4469,0.006,0.4395,0.4544,0.6744,0.0045,0.6687,0.68
XGB,ASTRAZENECA,synergy_bliss,407200.7039,200009.5526,158895.8564,655505.5513,589.4711,244.3861,286.0743,892.8678,22.0338,5.6561,15.0119,29.0556,-482.3542,891.3115,-1588.8862,624.1778,0.1168,0.1729,-0.0978,0.3314
XGB,ASTRAZENECA,synergy_hsa,72.8949,6.4668,64.8666,80.9232,8.5293,0.3827,8.0542,9.0043,4.8505,0.1041,4.7212,4.9798,0.1839,0.1271,0.0261,0.3417,0.5008,0.0705,0.4132,0.5884
XGB,ASTRAZENECA,synergy_loewe,1276.132,808.4469,272.4735,2279.7905,33.3261,12.8647,17.3551,49.2972,8.5344,0.4042,8.0326,9.0363,-0.863,0.9919,-2.0944,0.3684,0.2909,0.2302,0.0051,0.5767
XGB,ASTRAZENECA,synergy_zip,156919.2146,76281.5912,62218.2934,251620.1358,367.4185,148.0638,183.6024,551.2345,15.202,3.406,10.9735,19.4304,-311.2085,567.8134,-1016.1289,393.7118,0.1298,0.1749,-0.0873,0.3469
XGB,DYALL,synergy_bliss,33.9346,9.4641,22.1852,45.684,5.7676,0.8182,4.7518,6.7834,4.3285,0.6978,3.4622,5.1948,-0.1224,0.314,-0.5122,0.2674,0.3556,0.1346,0.1886,0.5227
XGB,DYALL,synergy_hsa,25.113,9.7469,13.0125,37.2135,4.918,0.9627,3.7228,6.1131,3.4862,0.446,2.9325,4.0399,-0.7272,1.0567,-2.039,0.5846,0.1483,0.1965,-0.0957,0.3923
XGB,DYALL,synergy_loewe,208.5243,91.1351,95.3833,321.6653,14.1074,3.083,10.2801,17.9348,10.2256,1.7184,8.0923,12.359,-0.3864,1.1642,-1.8317,1.059,0.5158,0.1573,0.3206,0.7111
XGB,DYALL,synergy_zip,26.861,4.2107,21.6335,32.0885,5.166,0.4163,4.6492,5.6828,3.8614,0.375,3.3958,4.327,-0.1986,0.297,-0.5673,0.17,0.3619,0.1335,0.1961,0.5277
XGB,FALLAHI-SICHANI,synergy_bliss,149.3056,90.918,36.4341,262.1772,11.2296,4.8167,5.2498,17.2095,8.7992,4.3893,3.35,14.2484,-1.275,1.3947,-3.0065,0.4565,0.1871,0.5648,-0.5141,0.8882
XGB,FALLAHI-SICHANI,synergy_hsa,137.7853,94.2934,20.7233,254.8472,11.1483,3.6743,6.5868,15.7098,9.0842,2.5274,5.9465,12.2218,-0.383,0.6924,-1.2426,0.4765,0.4253,0.5311,-0.2341,1.0847
XGB,FALLAHI-SICHANI,synergy_loewe,113.9546,41.4832,62.4546,165.4545,10.5153,1.8394,8.2318,12.7988,9.2188,2.0136,6.719,11.7186,0.1866,0.5399,-0.4837,0.8569,0.7601,0.2293,0.4755,1.0447
XGB,FALLAHI-SICHANI,synergy_zip,120.7494,64.9317,40.139,201.3598,10.267,3.9163,5.4051,15.129,8.4042,3.2537,4.3649,12.4436,-1.7623,1.8687,-4.0823,0.5577,0.0795,0.4692,-0.5029,0.662
XGB,FLOBAK,synergy_bliss,9.8678,0.6121,9.1079,10.6277,3.1398,0.0963,3.0203,3.2593,2.3299,0.061,2.2542,2.4057,0.7812,0.0085,0.7706,0.7917,0.8858,0.0061,0.8783,0.8934
