drug_name,CID,ex_drug_id
JNJ-38877605,46911863,233
SGX-523,24779724,234
AMG-51,11858109,235
CTK8E8456,ChemTik,236
AMG-208,24864821,237
MGCD-265,24901704,238
AMG-458,24764449,239
SCHEMBL224883,11717641,240
NVP-BVU972,44206063,241
capmatinib,25145656,242
913376-84-8,16757524,243
BMS-2,21081761,244
Tepotinib,25171648,245
Picropodophyllin,72435,246
Linsitinib,11640390,247
GSK1904529A,25124816,248
BMS-536924,135440466,249
NVP-AEW541,11476171,250
NVP-ADW742,9825149,251
BMS-754807,24785538,252
GSK1838705A,25182616,253
dorsomorphin,11524144,254
476477-15-3,53316426,255
LY2109761,11655119,256
909910-43-6,16218924,257
RepSox,449054,258
SD-208,10316032,259
356559-20-1,9967941,260
301836-41-9,4521392,261
452342-67-5,10202642,262
SB-505124,9858940,263
ITD-1,44135961,264
494772-86-0,9968854,265
1062368-24-4,25195294,266
761439-42-3,16038120,267
Alectinib,49806720,268
ASP3026,25134326,269
Tandutinib,3038522,270
Quizartinib,24889392,271
AMG-25,24879368,272
AZ-23,16097523,273
504433-23-2,9943465,274
HMS3673C13,68712644,275
NCGC00253909-01,57519555,276
841290-80-0,11213558,277
Fostamatinib,11671467,278
trans-Piceatannol,667639,279
BAY 61-3606,10200390,280
Perifosine,148177,281
957054-30-7,17755052,282
Omipalisib,25167777,283
IC-87114,9908783,284
PIK-90,135398491,285
154447-36-6,3973,286
NIBR-17,53322732,287
372196-67-3,10275789,288
TG100-115,10427712,289
PIK-93,6852167,290
GNE-477,25207689,291
GNE-490,46180666,292
GNE-493,25242324,293
PKI-402,44187953,294
PF-04691502,25033539,295
BGT-226 free base,11978790,296
PI3K inhibitor GS1059615,71317162,297
CHEMBL3348841,73265226,298
D-106669,16048654,299
Buparlisib,16654980,300
Idelalisib,11625818,301
853910-02-8,24882589,302
AZD6482,44137675,303
TGX-221,9907093,304
GSK2636771,56949517,305
1202884-94-3,44599690,306
PI-103,9884685,307
CH5132799,49784945,308
CHEMBL3348927,73265229,309
Wortmannin from Penicillium funiculosum,3003565,310
Deguelin,107935,311
ZSTK474,11647372,312
XL147,56599306,313
PIK-293,53245636,314
PIK-294,24905149,315
CUDC-907,54575456,316
3-methyladenine,135398661,317
Alpelisib(BYL-719),73265232,318
Copanlisib,135565596,319
648450-29-7,10377751,320
900515-16-4,11630874,321
AS-604850,5287855,322
AC1MDWZ9,2844288,323
